inference_stride,seed,macro_frame_acc,weighted_frame_acc,correct,total
1,0,0.743042267562125,0.7331975560081466,720,982
1,42,0.7379303904268089,0.7291242362525459,716,982
1,123,0.7328970402618195,0.725050916496945,712,982
2,0,0.696622125941354,0.6863543788187373,674,982
2,42,0.7121964474886138,0.7046843177189409,692,982
2,123,0.7371318653495984,0.7291242362525459,716,982
4,0,0.6847607013569589,0.6741344195519349,662,982
4,42,0.8097123325864064,0.8004073319755601,786,982
4,123,0.6680211078930502,0.659877800407332,648,982
8,0,0.6615821899016469,0.6517311608961304,640,982
8,42,0.7761608593894842,0.7678207739307535,754,982
8,123,0.6855082777586212,0.6782077393075356,666,982
12,0,0.6855287212816541,0.6782077393075356,666,982
12,42,0.7521101532250057,0.745417515274949,732,982
12,123,0.5674819522301233,0.560081466395112,550,982
16,0,0.7036081394757134,0.6945010183299389,682,982
16,42,0.7994043088327762,0.7922606924643585,778,982
16,123,0.6821969519045215,0.6741344195519349,662,982
24,0,0.6326731223006632,0.6211812627291242,610,982
24,42,0.6836166335905054,0.6741344195519349,662,982
24,123,0.5961882037135686,0.5865580448065173,576,982
32,0,0.5835114757732687,0.5723014256619144,562,982
32,42,0.7060178685999229,0.6965376782077393,684,982
32,123,0.6346893981206193,0.6272912423625254,616,982
48,0,0.544795108393374,0.5356415478615071,526,982
48,42,0.6985825824030552,0.6904276985743381,678,982
48,123,0.5834162416940403,0.5743380855397149,564,982
64,0,0.5874832795467623,0.5804480651731161,570,982
64,42,0.6584468802899173,0.6496945010183299,638,982
64,123,0.5869419798938218,0.5784114052953157,568,982
